año,capitulo,nombre_capitulo,total_fonasa,problemas_llegar_consulta_respuestas,problemas_llegar_consulta_si,problemas_llegar_consulta_no,problemas_llegar_consulta_nsnr,problemas_llegar_consulta_si_porcentaje,problemas_llegar_consulta_no_porcentaje,problemas_llegar_consulta_nsnr_porcentaje,problemas_conseguir_cita_respuestas,problemas_conseguir_cita_si,problemas_conseguir_cita_no,problemas_conseguir_cita_nsnr,problemas_conseguir_cita_si_porcentaje,problemas_conseguir_cita_no_porcentaje,problemas_conseguir_cita_nsnr_porcentaje,problemas_ser_atendido_respuestas,problemas_ser_atendido_si,problemas_ser_atendido_no,problemas_ser_atendido_nsnr,problemas_ser_atendido_si_porcentaje,problemas_ser_atendido_no_porcentaje,problemas_ser_atendido_nsnr_porcentaje,problemas_pagar_por_costo_respuestas,problemas_pagar_por_costo_si,problemas_pagar_por_costo_no,problemas_pagar_por_costo_nsnr,problemas_pagar_por_costo_si_porcentaje,problemas_pagar_por_costo_no_porcentaje,problemas_pagar_por_costo_nsnr_porcentaje,problemas_entrega_medicamentos_respuestas,problemas_entrega_medicamentos_si,problemas_entrega_medicamentos_no,problemas_entrega_medicamentos_nsnr,problemas_entrega_medicamentos_si_porcentaje,problemas_entrega_medicamentos_no_porcentaje,problemas_entrega_medicamentos_nsnr_porcentaje
2017,20,SERVICIO DE SALUD ARICA,121817.0,7503.0,1323.0,5999.0,181.0,17.632946821271492,79.95468479274956,2.4123683859789415,7503.0,2648.0,4630.0,225.0,35.29254964680794,61.70864987338398,2.9988004798080765,7503.0,2623.0,4655.0,225.0,34.959349593495936,62.04184992669599,2.9988004798080765,7503.0,552.0,6726.0,225.0,7.357057177129149,89.64414234306277,2.9988004798080765,7503.0,1029.0,6249.0,225.0,13.714514194322271,83.28668532586964,2.9988004798080765
2017,21,SERVICIO DE SALUD TARAPACÁ,257446.0,21769.0,2848.0,18301.0,620.0,13.08282419954982,84.0690890716156,2.8480867288345815,21769.0,4897.0,16264.0,608.0,22.49529146952088,74.7117460609123,2.7929624695668154,21769.0,4159.0,16902.0,708.0,19.105149524553266,77.64251917864854,3.252331296798199,21769.0,1756.0,19405.0,608.0,8.066516606183106,89.14052092425008,2.7929624695668154,21769.0,2342.0,18782.0,645.0,10.758417933759016,86.27865313059856,2.9629289356424273
2017,22,SERVICIO DE SALUD ANTOFAGASTA,407748.0,18357.0,1824.0,16182.0,351.0,9.93626409544043,88.15165876777252,1.9120771367870568,18357.0,2792.0,14962.0,603.0,15.209456882932942,81.50569265130468,3.28485046576238,18357.0,3626.0,14128.0,603.0,19.752682900256033,76.96246663398159,3.28485046576238,18357.0,1705.0,16049.0,603.0,9.288010023424306,87.4271395108133,3.28485046576238,18357.0,1742.0,15902.0,713.0,9.48956801220243,86.62635506891104,3.884076918886528
2017,23,SERVICIO DE SALUD ATACAMA,219386.0,23194.0,3294.0,18952.0,948.0,14.20194877985686,81.7107872725705,4.087263947572648,23194.0,5017.0,17191.0,986.0,21.63059411916875,74.11830645856688,4.251099422264379,23194.0,5261.0,16947.0,986.0,22.682590325084075,73.06631025265155,4.251099422264379,23194.0,2822.0,19386.0,986.0,12.166939725791153,83.58196085194447,4.251099422264379,23194.0,3253.0,18983.0,958.0,14.025178925584203,81.84444252824005,4.130378546175735
2017,24,SERVICIO DE SALUD COQUIMBO,694748.0,51900.0,7573.0,43234.0,1093.0,14.591522157996144,83.30250481695568,2.10597302504817,51900.0,13335.0,37546.0,1019.0,25.69364161849711,72.34296724470136,1.963391136801541,51900.0,12156.0,38725.0,1019.0,23.42196531791907,74.61464354527938,1.963391136801541,51900.0,5476.0,45405.0,1019.0,10.55105973025048,87.48554913294798,1.963391136801541,51900.0,6971.0,43826.0,1103.0,13.431599229287093,84.44315992292871,2.1252408477842004
2017,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,421076.0,83752.0,6114.0,76379.0,1259.0,7.300124176139078,91.19662814022352,1.5032476836374056,83752.0,13370.0,69123.0,1259.0,15.963797879453626,82.53295443690897,1.5032476836374056,83752.0,18230.0,64263.0,1259.0,21.766644378641704,76.73010793772089,1.5032476836374056,83752.0,4629.0,77709.0,1414.0,5.527032190276053,92.7846499188079,1.6883178909160377,83752.0,5863.0,76630.0,1259.0,7.000429840481422,91.49632247588116,1.5032476836374056
2017,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,844999.0,180297.0,19928.0,156854.0,3515.0,11.052873869226886,86.99756512864884,1.9495610021242729,180297.0,35214.0,141026.0,4057.0,19.531107006772157,78.21871689490119,2.2501760983266497,180297.0,39566.0,136951.0,3780.0,21.944902022773537,75.95855726939439,2.096540707832077,180297.0,14556.0,161924.0,3817.0,8.07334564635019,89.80959195105854,2.11706240259128,180297.0,17101.0,159132.0,4064.0,9.484905461544008,88.26103595733706,2.254058581118932
2017,27,SERVICIO DE SALUD ACONCAGUA,213886.0,15030.0,1169.0,13104.0,757.0,7.777777777777778,87.18562874251496,5.036593479707252,15030.0,2954.0,11265.0,811.0,19.654025282767797,74.9500998003992,5.395874916833001,15030.0,2833.0,11386.0,811.0,18.848968729208252,75.75515635395875,5.395874916833001,15030.0,1186.0,13033.0,811.0,7.8908848968729215,86.71324018629409,5.395874916833001,15030.0,740.0,13479.0,811.0,4.9234863606121095,89.68063872255489,5.395874916833001
2017,28,SERVICIO DE SALUD O´HIGGINS,778292.0,144103.0,10399.0,131446.0,2258.0,7.216366071490531,91.21669916656836,1.5669347619411116,144103.0,15001.0,126619.0,2483.0,10.409915130149962,87.86701179017786,1.723073079672179,144103.0,20355.0,121311.0,2437.0,14.125313144070562,84.18353538788227,1.6911514680471609,144103.0,7052.0,134710.0,2341.0,4.893721851731053,93.48174569578704,1.6245324524819056,144103.0,7767.0,133955.0,2381.0,5.389894728076445,92.95781489628946,1.652290375634095
2017,29,SERVICIO DE SALUD MAULE,907952.0,149269.0,16413.0,129903.0,2953.0,10.995585151638988,87.02610722923045,1.9783076191305629,149269.0,23829.0,122383.0,3057.0,15.963796903576762,81.98822260482753,2.04798049159571,149269.0,28523.0,117559.0,3187.0,19.108455205032527,78.75647321279034,2.1350715821771433,149269.0,13046.0,133159.0,3064.0,8.73992590557986,89.20740408256236,2.0526700118577867,149269.0,19121.0,126903.0,3245.0,12.809759561596849,85.01631283119737,2.1739276072057825
